SA Professional Approach,SA Attitude And Friendliness,SA Product Knowledge,On The Promised Time,Completed First Time,SA Explain The Work ,Cleaned Properly,Overall Evaluation,Concern_YES
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,True
10,10,10.0,8,10,10,10,10,False
10,10,10.0,10,5,10,10,8,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,8,8,7,8,8,False
10,10,10.0,5,10,3,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,8,9,9,9,8,True
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,4,10,10,True
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,True
10,10,10.0,6,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,5,7,5,10,10,False
10,10,10.0,6,10,6,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,4,10,10,False
10,10,10.0,10,10,10,1,7,True
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,8,8,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,10,10,10,10,10,False
10,10,10.0,6,8,8,8,8,True
0,0,0.0,0,0,0,0,0,True
0,0,0.0,0,0,0,0,0,True
0,0,0.0,0,0,0,0,0,True
3,2,2.0,2,2,2,2,2,True
3,3,2.0,3,2,3,3,2,True
4,4,5.0,6,5,5,5,6,True
4,4,4.0,4,4,4,4,4,True
5,5,5.0,5,5,5,5,5,True
5,5,2.0,0,0,0,5,5,True
5,5,10.0,2,10,10,2,4,True
5,5,7.0,5,5,10,5,5,True
6,6,6.0,6,6,6,6,6,True
6,7,6.0,3,6,7,7,7,True
7,8,7.0,8,10,10,8,8,True
7,7,9.0,5,9,10,6,9,True
8,8,9.0,2,8,0,7,9,True
8,6,6.0,5,6,6,5,5,True
8,8,4.0,4,8,4,9,6,True
8,8,8.0,8,7,7,7,7,True
9,9,9.0,5,9,9,9,9,True
9,9,9.0,9,9,9,9,9,True
9,9,9.0,6,6,9,9,9,True
9,9,9.0,5,9,9,9,9,True
10,10,5.0,8,8,5,5,5,True
10,10,9.0,10,5,10,8,9,False
10,10,10.0,7,10,10,10,10,True
10,10,10.0,0,10,10,0,5,True
10,10,8.0,8,8,10,8,9,True
10,10,7.0,10,10,10,10,10,True
10,10,10.0,10,7,10,10,10,True
9,9,9.0,9,9,9,9,9,True
3,3,8.0,8,10,10,10,7,True
5,5,8.0,8,10,8,10,8,True
5,5,5.0,7,5,4,10,5,True
5,5,8.0,9,8,8,9,7,False
6,6,6.0,0,7,4,8,5,True
6,6,5.0,7,7,6,5,7,False
7,7,7.0,9,9,10,10,7,True
7,7,7.0,8,7,5,7,6,False
7,7,9.0,10,10,10,10,10,False
7,7,5.0,8,8,7,8,10,False
8,8,8.0,8,8,8,8,8,False
8,8,8.0,8,8,8,8,8,False
8,8,8.0,8,8,8,8,8,True
8,8,8.0,9,10,9,4,7,False
8,8,10.0,10,10,8,10,8,False
10,10,10.0,10,10,10,10,10,False
8,9,8.0,10,10,10,10,10,False
8,8,8.0,8,8,8,7,8,True
8,8,6.0,3,8,0,8,8,True
8,8,8.0,9,9,8,8,9,False
8,8,8.0,8,8,8,8,8,False
8,8,7.0,8,9,8,8,8,False
8,8,8.0,9,8,8,8,8,True
8,8,8.0,8,8,8,8,8,False
8,8,8.0,5,8,8,8,8,False
8,8,10.0,8,10,10,10,10,True
8,8,5.0,8,8,9,10,8,False
8,10,10.0,0,10,10,10,9,False
8,8,10.0,10,5,10,0,8,True
8,8,10.0,10,10,8,8,8,False
8,8,10.0,10,10,8,6,6,False
8,8,7.0,5,7,7,8,7,True
9,9,9.0,9,9,9,9,9,False
9,9,8.0,8,9,8,8,8,False
9,9,9.0,5,7,6,9,8,True
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,7,9,9,9,9,False
9,9,7.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
9,9,9.0,9,9,9,9,9,False
